participant_id,file,action,take,camera,start,end,detection_rate,in_frame_rate,verdict
P001,data/raw/_nosound/P001_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:16,0.999,0.999,OK
P001,data/raw/_nosound/P001_S1_M01__T01_CAM_F.mov,M01,001,cam01,00:00,00:04,0.996,0.996,OK
P001,data/raw/_nosound/P001_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:05,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:09,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:09,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:12,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M02_T05_CAM_F.mov,M02,005,cam01,00:00,00:09,0.998,0.998,OK
P001,data/raw/_nosound/P001_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:11,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:08,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:07,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:03,0.995,0.995,OK
P001,data/raw/_nosound/P001_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:04,0.996,0.996,OK
P001,data/raw/_nosound/P001_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:04,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:22,0.999,0.999,OK
P001,data/raw/_nosound/P001_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:06,1.000,0.980,OK
P001,data/raw/_nosound/P001_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:05,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:05,1.000,1.000,OK
P001,data/raw/_nosound/P001_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:08,1.000,0.994,OK
P001,data/raw/_nosound/P001_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:07,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:18,0.996,0.996,OK
P002,data/raw/_nosound/P002_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:10,0.998,0.958,OK
P002,data/raw/_nosound/P002_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:13,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:09,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:11,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:09,0.998,0.998,OK
P002,data/raw/_nosound/P002_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:10,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:11,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:02,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:03,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:04,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:18,0.999,0.999,OK
P002,data/raw/_nosound/P002_S1_M05_T02_CAM_F.mov,M05,002,cam01,00:00,00:15,0.999,0.999,OK
P002,data/raw/_nosound/P002_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:09,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:06,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:06,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:05,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M06_T05_CAM_F.mov,M06,005,cam01,00:00,00:06,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M06_T06_CAM_F.mov,M06,006,cam01,00:00,00:06,1.000,1.000,OK
P002,data/raw/_nosound/P002_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:11,1.000,0.992,OK
P002,data/raw/_nosound/P002_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:06,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:23,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:10,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:09,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M01_T03_CAM_F.mov,M01,003,cam01,00:00,00:07,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:13,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:13,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:12,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:10,0.998,0.998,OK
P003,data/raw/_nosound/P003_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:15,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:14,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:15,1.000,1.000,OK
P003,data/raw/_nosound/P003_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:16,0.999,0.999,OK
P003,data/raw/_nosound/P003_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:04,0.996,0.996,OK
P003,data/raw/_nosound/P003_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:03,0.995,0.995,OK
