participant_id,file,action,take,camera,start,end
P001,data/raw/_nosound/P001_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:16
P001,data/raw/_nosound/P001_S1_M01__T01_CAM_F.mov,M01,001,cam01,00:00,00:04
P001,data/raw/_nosound/P001_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:05
P001,data/raw/_nosound/P001_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:09
P001,data/raw/_nosound/P001_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:09
P001,data/raw/_nosound/P001_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:12
P001,data/raw/_nosound/P001_S1_M02_T05_CAM_F.mov,M02,005,cam01,00:00,00:09
P001,data/raw/_nosound/P001_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:11
P001,data/raw/_nosound/P001_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:08
P001,data/raw/_nosound/P001_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:07
P001,data/raw/_nosound/P001_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:03
P001,data/raw/_nosound/P001_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:04
P001,data/raw/_nosound/P001_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:04
P001,data/raw/_nosound/P001_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:22
P001,data/raw/_nosound/P001_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:06
P001,data/raw/_nosound/P001_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:05
P001,data/raw/_nosound/P001_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:05
P001,data/raw/_nosound/P001_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:08
P001,data/raw/_nosound/P001_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:07
P002,data/raw/_nosound/P002_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:18
P002,data/raw/_nosound/P002_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:10
P002,data/raw/_nosound/P002_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:13
P002,data/raw/_nosound/P002_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:09
P002,data/raw/_nosound/P002_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:11
P002,data/raw/_nosound/P002_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:09
P002,data/raw/_nosound/P002_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:10
P002,data/raw/_nosound/P002_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:11
P002,data/raw/_nosound/P002_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:02
P002,data/raw/_nosound/P002_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:03
P002,data/raw/_nosound/P002_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:04
P002,data/raw/_nosound/P002_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:18
P002,data/raw/_nosound/P002_S1_M05_T02_CAM_F.mov,M05,002,cam01,00:00,00:15
P002,data/raw/_nosound/P002_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:09
P002,data/raw/_nosound/P002_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:06
P002,data/raw/_nosound/P002_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:06
P002,data/raw/_nosound/P002_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:05
P002,data/raw/_nosound/P002_S1_M06_T05_CAM_F.mov,M06,005,cam01,00:00,00:06
P002,data/raw/_nosound/P002_S1_M06_T06_CAM_F.mov,M06,006,cam01,00:00,00:06
P002,data/raw/_nosound/P002_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:11
P002,data/raw/_nosound/P002_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:06
P003,data/raw/_nosound/P003_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:23
P003,data/raw/_nosound/P003_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:10
P003,data/raw/_nosound/P003_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:09
P003,data/raw/_nosound/P003_S1_M01_T03_CAM_F.mov,M01,003,cam01,00:00,00:07
P003,data/raw/_nosound/P003_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:13
P003,data/raw/_nosound/P003_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:13
P003,data/raw/_nosound/P003_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:12
P003,data/raw/_nosound/P003_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:10
P003,data/raw/_nosound/P003_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:15
P003,data/raw/_nosound/P003_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:14
P003,data/raw/_nosound/P003_S1_M03_T03_CAM_F.mov,M03,003,cam01,00:00,00:15
P003,data/raw/_nosound/P003_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:16
P003,data/raw/_nosound/P003_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:04
P003,data/raw/_nosound/P003_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:03
P003,data/raw/_nosound/P003_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:03
P003,data/raw/_nosound/P003_S1_M04_T04_CAM_F.mov,M04,004,cam01,00:00,00:03
P003,data/raw/_nosound/P003_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:22
P003,data/raw/_nosound/P003_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:08
P003,data/raw/_nosound/P003_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:14
P004,data/raw/_nosound/P004_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:19
P004,data/raw/_nosound/P004_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:11
P004,data/raw/_nosound/P004_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:14
P004,data/raw/_nosound/P004_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:09
P004,data/raw/_nosound/P004_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:05
P004,data/raw/_nosound/P004_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:05
P004,data/raw/_nosound/P004_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:22
P004,data/raw/_nosound/P004_S1_M03_T02_CAM_F.mov,M03,002,cam01,00:00,00:21
